restaurant_name,area,parking_id,hour,day_of_week,is_weekend,occupied_slots,total_slots,occupancy_rate,is_peak_hour,status
In Time Cane Juice,banashankari,1208,7,1,0,94,231,0.40752518137865434,1,Available
Sri Guru Vaibhava Veg,kalyan nagar,78,5,3,0,11,223,0.05,0,Available
Radha Rani,brookefield,1237,12,2,0,190,261,0.7310922589709866,0,Busy
Punjab Da Zaika,marathahalli,2330,1,6,1,12,244,0.05,0,Available
Sagar Grand,bannerghatta road,2434,9,3,0,113,132,0.8575698018345671,1,Full
RS Shiv Sagar,banashankari,2346,17,6,1,210,252,0.8369361310081194,1,Full
Saladtimes,malleshwaram,319,6,6,1,147,244,0.6033306250206723,0,Busy
Star Biryani & Kebab Centre,rajajinagar,1644,11,5,1,62,220,0.2848293387770603,0,Available
TBC - The Breakfast Company,brookefield,1636,3,5,1,77,257,0.30022781845089375,0,Available
Dolphin Bar,frazer town,1339,18,6,1,128,144,0.8956502775262065,1,Full
Amber Rush Restobar,brigade road,2088,23,2,0,31,64,0.4942289071044099,0,Available
Rolls On Wheel,"byresandra,tavarekere,madiwala",419,10,3,0,225,250,0.9022544912103189,1,Full
Mothers Recipe Restaurant,frazer town,1648,15,5,1,45,206,0.22291563500289774,0,Available
Agraharaa,koramangala 4th block,150,5,6,1,22,162,0.13588635950047553,0,Available
Bhagini,marathahalli,2420,19,2,0,98,169,0.5840329876120225,1,Busy
Pipabu,koramangala 7th block,2405,4,2,0,8,162,0.05,0,Available
Wat-a-Burger!,jayanagar,688,15,0,0,54,169,0.31968612358691234,0,Available
Tea Villa Cafe,jayanagar,2145,8,5,1,145,145,1.0,1,Full
C R Mangalore Bakery,bellandur,1326,5,6,1,37,283,0.13213682811899705,0,Available
Kabab Palace,kalyan nagar,2633,16,4,0,44,155,0.28843517176117595,0,Available
RBP Greens Garden,bannerghatta road,2779,18,3,0,53,72,0.7498896304410712,1,Busy
Kullukki,koramangala 7th block,2080,15,2,0,37,248,0.15214780096325725,0,Available
The Globe Grub,"byresandra,tavarekere,madiwala",1085,4,3,0,12,246,0.05,0,Available
Absolute Waffles,malleshwaram,1108,3,4,0,13,258,0.05393612290402125,0,Available
Feast - Sheraton Grand Bangalore Hotel at Brigade...,malleshwaram,1587,2,3,0,39,190,0.2057122226218916,0,Available
Vijayalakshmi,banashankari,1686,5,0,0,35,266,0.13436182895684615,0,Available
Tasty Funda,electronic city,2621,4,4,0,8,161,0.05,0,Available
Indian Food,brookefield,1474,9,5,1,260,267,0.9754083969394793,1,Full
Chai Galli,marathahalli,522,17,0,0,150,203,0.7414917719583684,1,Busy
New Udupi Fresh Juice Centre,indiranagar,465,8,5,1,210,240,0.875307799969404,1,Full
Desi Doze,brookefield,2686,21,6,1,211,281,0.7511676288840867,0,Busy
Lucky Singh & Co,whitefield,2396,19,1,0,211,240,0.8830999522495951,1,Full
The Irish House,bellandur,2736,23,1,0,163,236,0.6931280119116199,0,Busy
JW Kitchen - JW Marriott Bengaluru,brigade road,737,16,2,0,54,254,0.21607824767773615,0,Available
Pecos Classic,brigade road,1549,12,1,0,177,257,0.6890787624148785,0,Busy
Indigo XP,koramangala 4th block,2442,17,3,0,205,253,0.8131263431403564,1,Full
Sultan Shah's Restaurant,brigade road,1451,10,4,0,193,211,0.9175545127122359,1,Full
Black Kitchen,"byresandra,tavarekere,madiwala",774,5,4,0,11,221,0.05208257621547101,0,Available
Khichadiwala,"byresandra,tavarekere,madiwala",450,17,4,0,76,100,0.7614341023336183,1,Busy
Food Zone,brookefield,1424,7,3,0,65,150,0.43936650259939725,1,Available
Hotel Narmada Andhra Style,sarjapur road,2580,11,2,0,33,187,0.18037933759193292,0,Available
Karigiri Refreshments,malleshwaram,450,17,4,0,86,100,0.8612525822394198,1,Full
Ayodhya Food Line,rajajinagar,151,6,6,1,183,239,0.7681240028570823,0,Busy
Dambal's Veg,malleshwaram,2148,11,5,1,95,284,0.3377989878419666,0,Available
Zephyr,banashankari,1698,17,0,0,131,149,0.8803532897892025,1,Full
Tea Journey,mg road,1734,5,2,0,23,176,0.13616360250476342,0,Available
Saha Chowmein,new bel road,1599,14,3,0,194,297,0.6554880245394875,0,Busy
Chettinad Food House,"byresandra,tavarekere,madiwala",855,14,0,0,213,282,0.7561395605508414,0,Busy
Suvaai Restaurant,indiranagar,1574,13,2,0,86,99,0.8738036566465969,0,Full
Smoke-A-Pot,"byresandra,tavarekere,madiwala",430,21,3,0,172,289,0.5964173960890048,0,Busy
Star Briyani,electronic city,2192,7,0,0,136,193,0.7064643655814007,1,Busy
Ali Snacks Point,malleshwaram,2645,4,5,1,10,217,0.05,0,Available
Tandoor Da Funda,brigade road,252,11,3,0,95,251,0.38219025043752236,0,Available
Chick Inn,malleshwaram,2005,12,6,1,199,239,0.836704706823817,0,Full
Durbar Greens Family Restaurant,"byresandra,tavarekere,madiwala",2064,23,1,0,58,103,0.5700992649534132,0,Busy
Opt For Fitness,kalyan nagar,1730,1,2,0,24,227,0.10917607765355024,0,Available
Al Madina Family Restaurant,basavanagudi,1363,18,0,0,142,245,0.5812431085399108,1,Busy
Firewood Biryani,brigade road,1121,16,4,0,41,148,0.2780328112162488,0,Available
Tawa Sagara,jayanagar,716,19,1,0,100,123,0.8157112571511747,1,Full
Toast & Tonic,brigade road,1875,2,1,0,62,251,0.24778940447415163,0,Available
The Lantern Restaurant & Bar - The Ritz-Carlton...,lavelle road,771,2,4,0,10,218,0.05,0,Available
Soundarya Military Hotel,malleshwaram,1997,4,6,1,8,175,0.05,0,Available
Flavours24,marathahalli,27,2,1,0,13,269,0.05,0,Available
Chaitanya Veg,brigade road,2617,0,4,0,54,287,0.1915402117702074,0,Available
Hotel Rangoon,brigade road,2442,17,3,0,205,253,0.8128751109659684,1,Full
Malties - Radisson Blu,marathahalli,1246,21,2,0,111,203,0.5470239796232961,0,Busy
Cake 24x7,brookefield,186,17,0,0,238,287,0.8313267433113356,1,Full
Hyderabadi Zaiqa,bellandur,2782,21,3,0,34,57,0.609707754934804,0,Busy
Choice of Food,whitefield,87,14,3,0,229,281,0.816864499053289,0,Full
Olive - Era,banashankari,2252,19,2,0,192,271,0.7097946906122647,1,Busy
Chaat Express,sarjapur road,1021,12,0,0,85,124,0.6872337853402232,0,Busy
Oakleaf,brookefield,1364,19,0,0,199,269,0.7407891846867842,1,Busy
Swing,indiranagar,2140,3,5,1,8,165,0.05,0,Available
The Open Cafe,"byresandra,tavarekere,madiwala",2421,20,2,0,213,264,0.8096120277064577,1,Full
Priya's Punjabi,brigade road,981,20,5,1,255,277,0.9231055272179889,1,Full
Sree Banashankari Donne Biriyani,rajajinagar,771,2,4,0,21,218,0.10051134566424609,0,Available
Kaulige Millet Corner,basavanagudi,1549,12,1,0,179,257,0.6965412866624853,0,Busy
Tandoori Club,bellandur,2561,16,1,0,28,180,0.15846292579495855,0,Available
Chikkanna Tiffin Room,malleshwaram,462,5,5,1,21,292,0.07293546772346408,0,Available
Snow'ora,kalyan nagar,2359,6,0,0,76,149,0.5157285483473231,0,Busy
Star Briyani,electronic city,707,10,1,0,78,106,0.739772273077838,1,Busy
Arya Bhavan Sweets,brigade road,109,12,4,0,148,211,0.703871428833399,0,Busy
Breakstation,old airport road,1960,15,4,0,45,134,0.34040508568145383,0,Available
Prakruthi Restaurant,"byresandra,tavarekere,madiwala",1719,14,1,0,140,155,0.9086185901210531,0,Full
Punjabi Twist,brookefield,147,2,6,1,36,279,0.1324577812831839,0,Available
Blueberry Restaurant,sarjapur road,2631,14,4,0,79,106,0.7457550390722764,0,Busy
Sambram Biriyani Paradise,bannerghatta road,1259,10,3,0,157,194,0.8125554084233833,1,Full
Rajdhani Special Chole Bhature,jp nagar,2688,23,6,1,78,158,0.4981228784700958,0,Available
Gobi Corner,rajajinagar,2363,10,0,0,232,284,0.8173486124550783,1,Full
Nizaam's Kaati Rolls & Kebabs,indiranagar,1067,10,2,0,44,54,0.8260230209941026,1,Full
Ragoo's Kitchen,malleshwaram,1712,7,1,0,105,132,0.7963242112485287,1,Full
Ruchi Maayaka,banashankari,899,10,2,0,49,62,0.8007639035218876,1,Full
Bisimillah Biriyani's & Kebab's,"byresandra,tavarekere,madiwala",1970,1,5,1,30,207,0.14515473423336123,0,Available
Chote Miya,frazer town,1185,8,0,0,178,219,0.8165288230294756,1,Full
Fritz Haber,"byresandra,tavarekere,madiwala",723,2,2,0,10,209,0.05,0,Available
Bricklane,indiranagar,362,1,1,0,40,188,0.21428228145150208,0,Available
Mimansa @ Foxtrot,hsr,430,21,3,0,195,289,0.6751933032686774,0,Busy
Saarangi Express,basavanagudi,2240,7,2,0,101,162,0.6291031947043048,1,Busy
Kinara Family Restaurant,electronic city,116,19,4,0,148,215,0.6890612545205261,1,Busy
Vaishali Deluxe,banashankari,1952,7,4,0,113,165,0.69027943109361,1,Busy
Vasanth Vihar - Since 1965,banashankari,1261,12,3,0,85,147,0.5798148937207719,0,Busy
Flavors of North,malleshwaram,656,7,6,1,153,222,0.691185709380027,1,Busy
The Punjabi Bites,indiranagar,1608,23,3,0,151,185,0.8190455625809978,0,Full
Halli Jonne Biriyani,basavanagudi,396,11,2,0,53,268,0.20094636748693115,0,Available
Shivajinagar Gardi Ustad Pehlwan Kale Bhai Biryani,brigade road,2192,7,0,0,95,193,0.49337022703972283,1,Available
MumÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂs Kitchen,marathahalli,2009,16,6,1,43,123,0.3549651365087641,0,Available
Sri Datta Biryani House,kalyan nagar,2393,16,1,0,57,232,0.24965243458838007,0,Available
Juicy Hut,bannerghatta road,1095,14,3,0,107,190,0.5649336568933867,0,Busy
The Himalayan,"byresandra,tavarekere,madiwala",2776,15,3,0,89,291,0.3068562974806027,0,Available
The Mirchi,electronic city,1448,7,4,0,77,175,0.44376962862738956,1,Available
Tea Break Lounge,brigade road,441,8,4,0,88,102,0.8673592430635181,1,Full
Maria Taste Circle,brookefield,1775,22,3,0,55,110,0.5080575765766197,0,Busy
Milkyway Ice Creams & Fast Food,brookefield,1062,5,2,0,56,223,0.254993440501754,0,Available
Saara's Grill n Spice - SS Lumina Hotel,"byresandra,tavarekere,madiwala",1879,6,1,0,116,248,0.4716746707663763,0,Available
Punjabi Tandoor,marathahalli,2724,11,1,0,57,215,0.26779384837943243,0,Available
Coastal Delight,brigade road,2230,21,1,0,181,267,0.6813517217369669,0,Busy
Sharma Ji Chaats And Desi khana,basavanagudi,404,19,2,0,193,294,0.6569135683566045,1,Busy
Just Fresh Point,electronic city,1519,6,0,0,144,253,0.572745993460413,0,Busy
The Early bell,brookefield,1951,6,4,0,64,95,0.6807142754282429,0,Busy
Aditya Sweets,brookefield,1249,0,3,0,8,165,0.05,0,Available
Melting Pot at Woodrose,bannerghatta road,451,18,4,0,238,299,0.7984633858532304,1,Full
Raapchick,brookefield,1153,0,6,1,18,129,0.14098827942484235,0,Available
Sweet Revenge Bake N Cafe,electronic city,2437,12,3,0,95,120,0.798182287177731,0,Full
Swad Punjabi Dhaba,marathahalli,2403,2,2,0,9,181,0.05,0,Available
Juice Fresco,kalyan nagar,305,16,5,1,45,213,0.21295433869157235,0,Available
YumYumDilli,sarjapur road,2178,17,6,1,246,260,0.9491941565616897,1,Full
Hyderabad Cuisine,brookefield,1659,2,6,1,39,276,0.1446984673233186,0,Available
Delicacy,marathahalli,965,4,5,1,28,202,0.14004928503458763,0,Available
Cold Fusion,brookefield,116,19,4,0,175,215,0.8146448209496976,1,Full
Indy's Comfort Food,brigade road,232,15,2,0,49,213,0.23199752784215089,0,Available
Swing,indiranagar,2506,9,6,1,278,288,0.9662253697161002,1,Full
Kavya Sagar,brigade road,2752,15,2,0,92,280,0.3293072473298681,0,Available
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© S,koramangala 4th block,141,20,5,1,236,286,0.8255648581973631,1,Full
Great Indian Rolls,basavanagudi,1275,2,4,0,46,164,0.28657745111447563,0,Available
La Boulangerie - Le Meridien,lavelle road,314,1,6,1,38,237,0.16238329209117874,0,Available
Toast And Salad,new bel road,1488,23,5,1,72,127,0.570869650279735,0,Busy
Priya's Punjabi,brigade road,1766,13,3,0,215,274,0.785655360863383,0,Full
Village Restaurant,brookefield,2214,5,1,0,7,153,0.05,0,Available
Ayodhya Food Line,rajajinagar,718,21,1,0,188,277,0.6787084603742451,0,Busy
Muthashy's,"byresandra,tavarekere,madiwala",171,2,0,0,18,86,0.2158595579007404,0,Available
Nisarga Restaurant,lavelle road,2313,8,5,1,49,57,0.8609317681648287,1,Full
Just Eat,indiranagar,609,8,4,0,149,163,0.9163376129244322,1,Full
The Kick-Ass Company Pub & Diner,marathahalli,719,22,1,0,159,249,0.6412780926936498,0,Busy
Dine @ 9 Paratha Corner,old airport road,1994,1,6,1,38,196,0.19720601599944898,0,Available
New Punjabi Pure Veg Restaurant,new bel road,282,17,4,0,205,212,0.9696792982653948,1,Full
Tea Brew,indiranagar,2239,6,2,0,143,273,0.525461188399713,0,Busy
Venus Bake Point,indiranagar,241,0,3,0,13,274,0.05,0,Available
Harbour 4,sarjapur road,433,0,4,0,5,118,0.05,0,Available
Rooftop Cafe,basavanagudi,479,22,5,1,160,263,0.6084189715034561,0,Busy
Star Ambur Dum Biryani,electronic city,2357,4,0,0,20,226,0.09228982905858958,0,Available
One Chu Restaurant,indiranagar,2532,11,0,0,93,280,0.3341151974816644,0,Available
Kanhaiyas,jp nagar,1396,3,2,0,13,103,0.12766907993300192,0,Available
Cheesy Juicy Burgers,hsr,2189,4,0,0,37,206,0.1827183249036024,0,Available
Tango,rajajinagar,1594,9,3,0,216,264,0.8213001891877907,1,Full
Ovenstory Pizza,brigade road,2179,18,6,1,241,241,1.0,1,Full
Fattoush,"byresandra,tavarekere,madiwala",2066,1,2,0,8,122,0.0735343166762044,0,Available
Happy Fillings,brigade road,2169,8,6,1,222,222,1.0,1,Full
Waah Chef,old airport road,1441,0,4,0,27,172,0.16256673477650063,0,Available
Dr. Harry's Chick Blast,kalyan nagar,951,14,4,0,187,295,0.6342842443583717,0,Busy
Amanthrana Gardenia,brookefield,514,9,0,0,155,218,0.7129107501938887,1,Busy
Puff Cafe,malleshwaram,550,21,1,0,84,131,0.6482472415243186,0,Busy
Chicken County,lavelle road,794,1,5,1,12,132,0.0926537214674149,0,Available
Ideal Kitchen,brigade road,1084,3,3,0,16,95,0.17140004940920922,0,Available
Ministry of Food - Hilton Bangalore Embassy GolfLinks,koramangala 4th block,711,14,1,0,99,130,0.7673237624573545,0,Busy
Asgardian Moreover Chai,"byresandra,tavarekere,madiwala",501,20,6,1,197,222,0.8897171087343126,1,Full
Ober Cafe,"byresandra,tavarekere,madiwala",1652,19,5,1,217,268,0.8123206281931594,1,Full
Ambur Biryani Hotel,"byresandra,tavarekere,madiwala",1428,11,3,0,35,240,0.14851527753141353,0,Available
The Parotta Master,indiranagar,1263,14,3,0,193,286,0.6753485047932979,0,Busy
Kebarbiq,koramangala 4th block,2103,14,3,0,57,71,0.8056398794323472,0,Full
Hangout Cafe,kalyan nagar,1117,12,4,0,88,119,0.7414093744130204,0,Busy
Aathurar,indiranagar,1463,22,4,0,53,112,0.4754261221288012,0,Available
Delice - Novotel,bellandur,2357,4,0,0,26,226,0.1173180925851182,0,Available
Sweet Truth,basavanagudi,2674,9,6,1,292,298,0.9815317379728835,1,Full
Go Gharelu,marathahalli,2576,7,2,0,65,142,0.46161425637988673,1,Available
ReFresh Juice Junction,"byresandra,tavarekere,madiwala",2202,17,0,0,233,294,0.7953725105945528,1,Full
Straight From The Heart,koramangala 4th block,1970,1,5,1,25,207,0.12082087184459998,0,Available
Mani's Dum Biryani,kalyan nagar,1116,11,4,0,52,285,0.18570297021693766,0,Available
Strawbees,marathahalli,165,20,6,1,145,156,0.9327787360348282,1,Full
The Big Spoon,brookefield,2120,7,4,0,178,295,0.6060784526368235,1,Busy
Chime - Sheraton Grand Bengaluru Whitefield Hotel &...,whitefield,1156,3,6,1,66,296,0.2233051243175277,0,Available
The Lighthouse Cafe,whitefield,2261,4,3,0,30,149,0.20538020520349032,0,Available
Layla - The Den Bengaluru,whitefield,586,9,3,0,96,142,0.6822330632042908,1,Busy
Hungry Travellers Cafe,koramangala 4th block,1080,23,2,0,138,273,0.5062174960084878,0,Busy
Crave Bite,"byresandra,tavarekere,madiwala",782,13,4,0,120,156,0.771503526720866,0,Busy
The Tiny Taproom,indiranagar,1216,15,1,0,48,138,0.3513785950912209,0,Available
House Of Wholewheat,"byresandra,tavarekere,madiwala",965,4,5,1,33,202,0.1665047686306048,0,Available
Hotel Nalapaka,malleshwaram,1983,14,5,1,211,211,1.0,0,Full
Go Gharelu,marathahalli,2046,5,1,0,23,152,0.1570890510693167,0,Available
New Surya Sweets & Snacks,"byresandra,tavarekere,madiwala",211,18,1,0,267,299,0.8935565640180599,1,Full
Dilli Dil Se,brookefield,2663,22,5,1,102,131,0.7854001763493201,0,Full
Rosewood International Hotel - Bar & Restaurant,banashankari,804,11,5,1,108,264,0.41013912513057976,0,Available
Rafoo Chakkar,brookefield,2161,0,6,1,16,202,0.08347307553596542,0,Available
Baker's Home,sarjapur road,2162,1,6,1,40,213,0.19089692204932673,0,Available
Patio 805,jayanagar,1660,3,6,1,8,160,0.05,0,Available
Ambur Tasty Biriyani,hsr,2013,20,6,1,211,242,0.873318139325999,1,Full
Rasa Cafe,kammanahalli,1832,7,6,1,138,237,0.5839636452170895,1,Busy
The Chameleon,electronic city,1084,3,3,0,10,95,0.10818741393863227,0,Available
CHAATter Box,jp nagar,1753,0,3,0,75,227,0.33146585666735084,0,Available
Skandas Veg Restaurant,brookefield,588,11,3,0,24,220,0.11327348074082516,0,Available
Dhanbad Food Stall,malleshwaram,1364,19,0,0,228,269,0.8486260190374514,1,Full
Siddiqu Kabab Center,lavelle road,816,23,5,1,138,262,0.5287284128810348,0,Busy
Spice Cove - I.V Sanctum,lavelle road,1787,10,4,0,144,187,0.7728068134210566,1,Busy
Dilli6 Paratha,hsr,988,3,6,1,61,274,0.22389505969673662,0,Available
Wood Castle,sarjapur road,273,8,4,0,177,215,0.8264280019095462,1,Full
Step Right Up,brigade road,2027,10,0,0,160,226,0.7122255222070694,1,Busy
Steaming Mugs,banashankari,807,14,5,1,158,210,0.7564696290740032,0,Busy
Five Senses,bellandur,2154,17,5,1,200,208,0.9649597748934675,1,Full
Grill Biryanis,rajajinagar,1016,7,0,0,86,182,0.4769633368282864,1,Available
Artinci Artisanal Ice Cream,bannerghatta road,462,5,5,1,39,292,0.13664585895819747,0,Available
The IT Crowd,brookefield,185,16,0,0,18,60,0.30455718399038134,0,Available
Odissi Restaurant,"byresandra,tavarekere,madiwala",2685,20,6,1,92,111,0.8318399652394182,1,Full
Anna Kuteera,residency road,1132,3,5,1,45,138,0.3293944089325326,0,Available
Breezy Cow Bar,marathahalli,1485,20,5,1,158,165,0.960391902231801,1,Full
Hunger Swipe Restaurant,hsr,199,6,1,0,86,249,0.3474857413342393,0,Available
Juicy,indiranagar,1872,23,0,0,127,206,0.6186454314769427,0,Busy
FoodIshq,indiranagar,162,17,6,1,200,241,0.8308213535231611,1,Full
Xian,brigade road,2239,6,2,0,173,273,0.6352433334796225,0,Busy
Yi Moi Chinese Fast Food,kammanahalli,618,17,4,0,79,114,0.70074792615673,1,Busy
TeamDelish,electronic city,1132,3,5,1,14,138,0.10352635585331009,0,Available
White Oak Cafe,kalyan nagar,1732,3,2,0,44,293,0.15049872789804572,0,Available
Chatori Gali,bannerghatta road,1468,3,5,1,31,158,0.20157551941701213,0,Available
20 Feet High,brigade road,1973,4,5,1,14,284,0.05,0,Available
Coffee Thindi,kalyan nagar,889,0,2,0,13,198,0.06654987641590517,0,Available
Durga Sagar,basavanagudi,1280,7,4,0,48,96,0.5025054688839045,1,Busy
Mr. Singh Da Dhaba,banashankari,399,14,2,0,64,99,0.6546670767426288,0,Busy
Brahma Brews,bannerghatta road,37,12,1,0,207,232,0.8965454240281097,0,Full
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,jayanagar,50,1,2,0,36,262,0.14049817109609555,0,Available
The J,indiranagar,21,20,0,0,154,236,0.6539116045664954,1,Busy
The CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© @ Saanchi,lavelle road,1452,11,4,0,85,218,0.3917861947054776,0,Available
People Tree Cafe,jayanagar,2183,22,6,1,108,120,0.9022156197012633,0,Full
Lassi Mania,electronic city,2671,6,6,1,191,260,0.7357465260551146,0,Busy
Sri Shakti Sweets,malleshwaram,2645,4,5,1,10,217,0.05,0,Available
Sakae Japanese Restaurant,brigade road,125,4,5,1,17,267,0.06657659271337485,0,Available
Dakshin Cafe,banashankari,180,11,0,0,98,232,0.4266911149186623,0,Available
The Cake Mart,indiranagar,472,15,5,1,51,188,0.2742330534381219,0,Available
Zero Kelvin,"byresandra,tavarekere,madiwala",2728,15,1,0,38,111,0.34438194281462287,0,Available
VRS Food Zone,indiranagar,593,16,3,0,42,113,0.37746340534293366,0,Available
The Vintage Cafe,banashankari,1452,11,4,0,45,218,0.2073069528421917,0,Available
Waffle Square,brookefield,1719,14,1,0,110,155,0.7140474643938199,0,Busy
Talk Ease,brigade road,2258,1,3,0,7,159,0.05,0,Available
Grab n Go - Aloft Hotel,whitefield,1206,5,1,0,13,277,0.05,0,Available
Sannidhi Grand,rajajinagar,2080,15,2,0,68,248,0.27474318486068394,0,Available
Kamat Swaad,bannerghatta road,2510,13,6,1,161,230,0.703221681803515,0,Busy
Tandoor Bhatti,kalyan nagar,2523,2,0,0,27,106,0.26324113039316355,0,Available
Vegetarea,electronic city,1208,7,1,0,94,231,0.40698586220393673,1,Available
Bread and Circus,lavelle road,1257,8,3,0,132,171,0.7759955513303016,1,Busy
Gramin,"byresandra,tavarekere,madiwala",1018,9,0,0,120,145,0.8330740577286091,1,Full
Rajvardhan Foods,basavanagudi,1007,22,6,1,144,173,0.8341273289066116,0,Full
Kerala Tiffin,brookefield,2106,17,3,0,183,288,0.6364137848820561,1,Busy
RICE BAR,brookefield,800,7,5,1,170,228,0.7488163752154959,1,Busy
Swing,indiranagar,1071,14,2,0,181,252,0.7210233061019586,0,Busy
Karachi Bakery,church street,2154,17,5,1,166,208,0.7988491348952048,1,Full
Swadist Restaurant,marathahalli,2362,9,0,0,221,256,0.8662103474263271,1,Full
Dindigul Thalappakatti,brigade road,883,18,1,0,53,67,0.799905969557347,1,Full
Tea Villa Cafe,jayanagar,1040,7,1,0,124,254,0.4899783122841206,1,Available
Royal Chowpatty,electronic city,753,8,3,0,209,253,0.8269802084990019,1,Full
Hungry Darjeeling Chinese and Thai,indiranagar,1353,8,0,0,118,152,0.7814686403138239,1,Full
Sardar Tikka Singh,brookefield,2639,22,4,0,116,190,0.6113517345251248,0,Busy
Twist N Roll,new bel road,2096,7,3,0,120,195,0.6162130674521047,1,Busy
Park N Eat,bellandur,2420,19,2,0,158,169,0.9386016816145353,1,Full
Samprith Gowdru Mudde Hotel,kalyan nagar,617,16,4,0,20,116,0.17621845011731507,0,Available
Amrit,"byresandra,tavarekere,madiwala",849,8,0,0,255,255,1.0,1,Full
Garage Food Company,"byresandra,tavarekere,madiwala",1676,19,6,1,197,282,0.7017912200477497,1,Busy
Fatty Chang,kalyan nagar,1224,23,1,0,83,143,0.5848214904964416,0,Busy
Enroute,hsr,2220,11,1,0,64,179,0.35883172064845764,0,Available
Flavors of North,malleshwaram,2049,8,1,0,245,290,0.8480991867735033,1,Full
Amma's Pastries,kalyan nagar,900,11,2,0,25,106,0.23773004801794062,0,Available
Crazy Pizza,rajajinagar,2474,1,5,1,8,86,0.09418777496427247,0,Available
Race Course Restaurant,malleshwaram,1078,21,2,0,151,275,0.5506999065341167,0,Busy
Baba Bhature,marathahalli,334,21,6,1,109,173,0.6310635243055788,0,Busy
#L-81 Cafe,"byresandra,tavarekere,madiwala",1368,23,0,0,145,213,0.6849602097021025,0,Busy
Kollapuri's,jayanagar,2712,23,0,0,171,269,0.6357015485965047,0,Busy
Rangla Punjab,bellandur,966,5,5,1,4,82,0.05,0,Available
The Momo Farm,new bel road,357,20,0,0,191,220,0.869959987543325,1,Full
Galaxy 2 Restaurant,brigade road,350,13,0,0,51,68,0.7507299520876609,0,Busy
Sri Durga Chats and Juice,rajajinagar,1204,3,1,0,40,222,0.18128621188389601,0,Available
Anda Ka Funda,jp nagar,1390,21,1,0,183,277,0.6629628841923612,0,Busy
Kitchen's Sea Food Restaurant,koramangala 4th block,996,11,6,1,47,181,0.26210049890779274,0,Available
Yuan Restaurant,kammanahalli,15,14,0,0,91,138,0.663981895980303,0,Busy
A1 Ambur Dum Biryani And Parota Centre,rajajinagar,1300,3,5,1,37,196,0.1897293605123262,0,Available
Fish Corner,malleshwaram,2517,20,6,1,82,86,0.9580370265433464,1,Full
Om Nom Thai,hsr,971,10,5,1,99,106,0.9409098406035851,1,Full
Soul Curry Restaurant,electronic city,42,17,1,0,178,225,0.7917327383308782,1,Full
Amantrana,rajajinagar,475,18,5,1,66,66,1.0,1,Full
Chulha Chauki Da Dhaba,brookefield,2105,16,3,0,60,253,0.240842861116417,0,Available
Tawa Sagara,jayanagar,1872,23,0,0,134,206,0.6547097381170037,0,Busy
Dinemaster Gogo's,hsr,876,11,1,0,80,286,0.2797807347566106,0,Available
"R Bar - Renaissance Hotel, Bengaluru",malleshwaram,1704,23,0,0,139,242,0.578231879677278,0,Busy
